W0217 20:17:05.146739  3318 device_context.cc:262] Please NOTE: device: 0, CUDA Capability: 70, Driver API Version: 9.2, Runtime API Version: 9.0
W0217 20:17:05.146880  3318 device_context.cc:270] device: 0, cuDNN Version: 7.0.
-----------  Configuration Arguments -----------
batch_size: 16
checkpoint: None
class_dim: 1000
data_dir: /data/pzl/imagenet
enable_ce: False
fp16: False
image_shape: 3,224,224
l2_decay: 0.0001
lr: 0.1
lr_strategy: piecewise_decay
model: SE_ResNeXt50_32x4d
model_category: models
model_save_dir: output
momentum_rate: 0.9
num_epochs: 100
pretrained_model: None
scale_loss: 1.0
total_images: 1281167
use_gpu: True
with_mem_opt: True
------------------------------------------------
Pass 0, trainbatch 0, loss 6.95428943634,                         acc1 0.0, acc5 0.0, lr0.10000, time 1.38 sec
Pass 0, trainbatch 250, loss 6.90158367157,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 260, loss 6.88765335083,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 270, loss 6.90793609619,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 280, loss 6.8187084198,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 290, loss 6.85472869873,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 300, loss 6.88597774506,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.30 sec
Pass 0, trainbatch 310, loss 7.00490283966,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 320, loss 6.91225862503,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 330, loss 6.86048316956,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 340, loss 6.86189174652,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 350, loss 6.86776924133,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.27 sec
Pass 0, trainbatch 360, loss 6.89676856995,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.26 sec
Pass 0, trainbatch 370, loss 6.9621591568,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 380, loss 6.89883232117,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 390, loss 6.93653345108,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 400, loss 6.91549539566,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 410, loss 6.95317554474,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 420, loss 6.92439031601,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 430, loss 6.84925603867,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 440, loss 6.95162773132,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 450, loss 6.85881137848,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 460, loss 6.94118309021,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 470, loss 6.98162508011,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 480, loss 6.97518873215,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 490, loss 6.96478319168,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 500, loss 6.80737257004,                         acc1 0.0625, acc5 0.125, lr0.10000, time 0.24 sec
Pass 0, trainbatch 510, loss 6.88430356979,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 520, loss 6.93981122971,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 530, loss 6.93278026581,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 540, loss 6.87888813019,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 550, loss 6.93965959549,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 560, loss 6.89555072784,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 570, loss 7.01951026917,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.29 sec
Pass 0, trainbatch 580, loss 6.77439165115,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 590, loss 6.90793943405,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 600, loss 6.86964321136,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 610, loss 6.88069534302,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 620, loss 6.955078125,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 630, loss 6.90338659286,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 640, loss 6.90675783157,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 650, loss 6.95672702789,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 660, loss 6.93800640106,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 670, loss 6.90091991425,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 680, loss 6.91026926041,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 690, loss 7.02281093597,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 700, loss 6.96004724503,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 710, loss 6.93925094604,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 720, loss 6.85826444626,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.29 sec
Pass 0, trainbatch 730, loss 6.90212154388,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 740, loss 6.99937868118,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 750, loss 6.91704750061,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 760, loss 6.88852882385,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 770, loss 6.88891792297,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 780, loss 6.90153121948,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 790, loss 6.93042993546,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 800, loss 6.87012577057,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 810, loss 6.93694591522,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 820, loss 6.80010032654,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 830, loss 6.93205547333,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 840, loss 6.84572887421,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 850, loss 6.89108324051,                         acc1 0.0, acc5 0.125, lr0.10000, time 0.22 sec
Pass 0, trainbatch 860, loss 6.89924287796,                         acc1 0.0625, acc5 0.0625, lr0.10000, time 0.23 sec
Pass 0, trainbatch 870, loss 6.94150352478,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 880, loss 6.93647909164,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 890, loss 6.93789482117,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 900, loss 6.90979290009,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 910, loss 6.97470855713,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 920, loss 6.9472284317,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 930, loss 6.99159049988,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 940, loss 6.94982910156,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 950, loss 6.94359922409,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 960, loss 6.9744348526,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 970, loss 6.89758014679,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.23 sec
Pass 0, trainbatch 980, loss 6.93376111984,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 990, loss 6.93257808685,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 1000, loss 6.93990325928,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1010, loss 6.92651128769,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1020, loss 6.94449234009,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1030, loss 6.9369597435,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1040, loss 6.94682788849,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1050, loss 6.93149280548,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1060, loss 6.88944721222,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1070, loss 6.89338684082,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1080, loss 6.94761705399,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.31 sec
Pass 0, trainbatch 1090, loss 6.92729568481,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1100, loss 6.84731864929,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 1110, loss 6.94045972824,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1120, loss 6.84694004059,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1130, loss 7.0193810463,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1140, loss 6.88178062439,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.28 sec
Pass 0, trainbatch 1150, loss 6.90459346771,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1160, loss 6.93839454651,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.26 sec
Pass 0, trainbatch 1170, loss 6.9287853241,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1180, loss 6.91313552856,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1190, loss 7.00825023651,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1200, loss 6.8539185524,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1210, loss 6.89755821228,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1220, loss 6.78617048264,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1230, loss 6.92558240891,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1240, loss 6.89772129059,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 1250, loss 6.92671537399,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1260, loss 6.96047019958,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1270, loss 6.93597126007,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1280, loss 6.81900978088,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1290, loss 6.83077907562,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1300, loss 6.95948648453,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1310, loss 6.86344909668,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1320, loss 7.02976417542,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1330, loss 6.9707069397,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1340, loss 7.00547599792,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1350, loss 6.96159982681,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1360, loss 6.97664785385,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1370, loss 6.85131645203,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1380, loss 6.95219135284,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1390, loss 6.94979810715,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.28 sec
Pass 0, trainbatch 1400, loss 6.93025779724,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1410, loss 6.90242004395,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.31 sec
Pass 0, trainbatch 1420, loss 6.9605922699,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1430, loss 6.97913885117,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1440, loss 7.01087713242,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1450, loss 6.85995006561,                         acc1 0.0625, acc5 0.0625, lr0.10000, time 0.25 sec
Pass 0, trainbatch 1460, loss 6.91207027435,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1470, loss 6.85963821411,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1480, loss 6.87132072449,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.27 sec
Pass 0, trainbatch 1490, loss 6.73654556274,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1500, loss 6.9260225296,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1510, loss 6.86716556549,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 1520, loss 7.01360416412,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1530, loss 6.90156078339,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1540, loss 6.96779346466,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1550, loss 6.92495918274,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1560, loss 6.96887683868,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1570, loss 6.63946437836,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1580, loss 6.83822488785,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1590, loss 6.90575551987,                         acc1 0.0625, acc5 0.0625, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1600, loss 6.86757087708,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1610, loss 6.8572640419,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1620, loss 7.07538795471,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.27 sec
Pass 0, trainbatch 1630, loss 6.84027671814,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1640, loss 6.90282773972,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1650, loss 6.88463640213,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1660, loss 6.68075227737,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1670, loss 6.998026371,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1680, loss 6.95751810074,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.31 sec
Pass 0, trainbatch 1690, loss 6.63398456573,                         acc1 0.0625, acc5 0.0625, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1700, loss 6.78500938416,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1710, loss 6.98012685776,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1720, loss 6.99550294876,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1730, loss 6.92208957672,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1740, loss 6.87126255035,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1750, loss 6.72558784485,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1760, loss 6.97261667252,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1770, loss 7.07218313217,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1780, loss 6.84749794006,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1790, loss 6.82543182373,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1800, loss 6.94479513168,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1810, loss 6.79809141159,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1820, loss 6.88862133026,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1830, loss 6.6534576416,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1840, loss 6.83176469803,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1850, loss 6.93600511551,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1860, loss 6.75670146942,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1870, loss 6.82935523987,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1880, loss 6.8777513504,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1890, loss 6.82092857361,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.28 sec
Pass 0, trainbatch 1900, loss 6.82731389999,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 1910, loss 6.99130773544,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 1920, loss 6.85708618164,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1930, loss 6.84578132629,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 1940, loss 6.78574419022,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1950, loss 7.05351018906,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1960, loss 7.01323270798,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1970, loss 6.92852735519,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 1980, loss 6.87151288986,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.28 sec
Pass 0, trainbatch 1990, loss 6.9709072113,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 2000, loss 6.79274654388,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 2010, loss 7.0261554718,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 2020, loss 6.84508800507,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 2030, loss 6.88634681702,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 2040, loss 6.88132333755,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 2050, loss 6.82729053497,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 2060, loss 6.93493795395,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 2070, loss 6.92602443695,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 2080, loss 6.92133045197,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 2090, loss 6.85664463043,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.26 sec
Pass 0, trainbatch 2100, loss 6.92746067047,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 2110, loss 6.66182947159,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.24 sec
Pass 0, trainbatch 2120, loss 7.01782226562,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 2130, loss 6.60691976547,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.27 sec
Pass 0, trainbatch 2140, loss 6.76150798798,                         acc1 0.0, acc5 0.125, lr0.10000, time 0.24 sec
Pass 0, trainbatch 2150, loss 6.80188274384,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 2160, loss 6.79198360443,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.25 sec
Pass 0, trainbatch 2170, loss 6.78168010712,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.27 sec
Pass 0, trainbatch 2180, loss 6.9056687355,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 2190, loss 6.84421634674,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 2200, loss 6.88762569427,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 2210, loss 6.7436132431,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.26 sec
Pass 0, trainbatch 2220, loss 6.78122329712,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.24 sec
Pass 0, trainbatch 2230, loss 6.75682973862,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.28 sec
Pass 0, trainbatch 2240, loss 6.77693939209,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
